Object.Name	LG	Start.cM	Stop.cM	Object.Type
Nodule_number_2-9	C2	93.34	95.34	QTL_root
Nodule_number_4-1	J	77.2	79.2	QTL_root
Nodule_size_1-1	C1	87.94	89.94	QTL_misc
Nodule_size_1-2	A1	87.94	89.94	QTL_misc
Nodule_size_1-3	C2	93.34	95.34	QTL_misc
Nodule_size_1-4	D1a	59.69	61.69	QTL_misc
Nodule_size_1-5	E	18.29	20.29	QTL_misc
Nodule_size_1-6	L	45.22	47.22	QTL_misc
Nodule_size_1-7	L	45.22	47.22	QTL_misc
Nodule_size_1-8	B1	45.22	47.22	QTL_misc
O	A2	58.4	58.4	Gene
O.44873864	O	113.11	113.11	SNP
O.46162033	O	121.07	121.07	SNP
O.4660170	O	44.11	44.11	SNP
O109_1	L	32.59	32.59	RFLP
OC01_650	N	136	136	RAPD
OE02_1000	G	21.6	21.6	RAPD
OE04_450	G	27.7	27.7	RAPD
OF04_1600	N	114	114	RAPD
OG13_490	G	11.6	11.6	RAPD
OI03_450	G	2	2	RAPD
OI03_512	G	5.6	5.6	RAPD
OO05_250	C2	150	150	RAPD
OPAC12b	N	31.85	31.85	RAPD
OPAD08	G	93	93	RAPD
OPAD11	K	86.48	86.48	RAPD
OPAD11c	D2	95.55	95.55	RAPD
OPAE12	G	39.79	39.79	RAPD
OPAF15a	B2	64.23	64.23	RAPD
OPAF15b	I	65.83	65.83	RAPD
OPAG03	E	51.43	51.43	RAPD
OPAG19	E	44.02	44.02	RAPD
OPAJ11a	G	62.02	62.02	RAPD
OPAM15a	G	43.88	43.88	RAPD
OPAM15c	D1b	113.68	113.68	RAPD
OPAN06	F	10.09	10.09	RAPD
OPAN07	E	44.54	44.54	RAPD
OPAT12	K	60.32	60.32	RAPD
OPAV06a	A2	135.22	135.22	RAPD
OPAV06b	F	150.97	150.97	RAPD
OP_C09	B2	67.98	67.98	RAPD
OP_D01	E	59.11	59.11	RAPD
OP_D01c	B2	70.83	70.83	RAPD
OP_E02a	B2	56.13	56.13	RAPD
OP_E02b	G	37.98	37.98	RAPD
OP_E08	C2	27.02	27.02	RAPD
OP_F07	G	54	54	RAPD
OP_F13	N	40.16	40.16	RAPD
OP_F14	D2	109.48	109.48	RAPD
OP_H04	G	97.88	97.88	RAPD
OP_I10	D1a	32.82	32.82	RAPD
OP_K16	E	52.07	52.07	RAPD
OP_L06	O	57.73	57.73	RAPD
OP_M02a	G	86.13	86.13	RAPD
OP_M02b	E	36.79	36.79	RAPD
OP_M09	G	60.04	60.04	RAPD
OP_M12a	A2	83.12	83.12	RAPD
OP_M12b	E	22.84	22.84	RAPD
OP_M15	D2	55.59	55.59	RAPD
OP_N03	N	24.79	24.79	RAPD
OP_N04	M	59.11	59.11	RAPD
OP_N14	E	60.09	60.09	RAPD
OP_Q17	B1	22.58	22.58	RAPD
OP_S09	G	40.93	40.93	RAPD
OP_S16	D1a	46.16	46.16	RAPD
OP_T02	B2	38	38	RAPD
OP_U09a	G	48.91	48.91	RAPD
OP_U09b	N	42.84	42.84	RAPD
OP_Y10	I	102.23	102.23	RAPD
OW13_900	K	47.29	47.29	RAPD
OW15_400	A2	66.8	66.8	RAPD
"P_aquisition_efficiency,_variable_P_1-1"	G	61.3	62.3	QTL_inorganic
"P_aquisition_efficiency,_variable_P_1-2"	D1A	69.6	78	QTL_inorganic
"P_aquisition_efficiency,_variable_P_1-3"	D1B	116.3	116.5	QTL_inorganic
"P_aquisition_efficiency,_variable_P_1-4"	G	61.3	62.3	QTL_inorganic
"P_aquisition_efficiency,_variable_P_1-5"	D2	102.8	111.7	QTL_inorganic
"P_aquisition_efficiency,_variable_P_1-6"	I	36	36.6	QTL_inorganic
"P_concentration,_variable_P_1-1"	K	54	56.5	QTL_inorganic
"P_concentration,_variable_P_1-2"	J	4.8	43.9	QTL_inorganic
"P_concentration,_variable_P_1-3"	D2	102.8	111.7	QTL_inorganic
"P_concentration,_variable_P_1-4"	A2	80.1	83	QTL_inorganic
"P_concentration,_variable_P_1-5"	M	62.9	65.3	QTL_inorganic
"P_concentration,_variable_P_1-6"	E	36.3	40.1	QTL_inorganic
"P_concentration,_variable_P_1-7"	C1	109.4	113.8	QTL_inorganic
"P_concentration,_variable_P_1-8"	G	61.3	62.3	QTL_inorganic
"P_use_efficiency,_variable_P_1-1"	K	54	56.5	QTL_inorganic
"P_use_efficiency,_variable_P_1-10"	E	36.3	40.1	QTL_inorganic
"P_use_efficiency,_variable_P_1-2"	J	4.8	43.9	QTL_inorganic
"P_use_efficiency,_variable_P_1-3"	B2	75.2	81.7	QTL_inorganic
"P_use_efficiency,_variable_P_1-4"	E	36.3	40.1	QTL_inorganic
"P_use_efficiency,_variable_P_1-5"	D2	102.8	111.7	QTL_inorganic
"P_use_efficiency,_variable_P_1-6"	C1	109.4	113.8	QTL_inorganic
"P_use_efficiency,_variable_P_1-7"	M	62.9	65.3	QTL_inorganic
"P_use_efficiency,_variable_P_1-8"	M	62.9	65.3	QTL_inorganic
"P_use_efficiency,_variable_P_1-9"	A2	80.1	83	QTL_inorganic
P003_1	A2	75.88	75.88	RFLP
P029_1	C2	123.62	123.62	RFLP
P049_1	K	26.91	26.91	RFLP
P1	K	111.29	111.29	Gene
P157_1	F	61.9	61.9	RFLP
PHP02275a	M	75	75	RFLP
PHP05354a	G	12	12	RFLP
PHYA_1	B2	76.5	76.5	Gene
PHYA_2	A1	41	41	Gene
PHYB_1	E	18.79	18.79	Gene
PHYB_2	K	18.29	18.29	Gene
Pa1	B1	40	40	Gene
Pa2	F	85.33	85.33	Gene
Pb	E	13.6	13.6	Gene
Pd1	D1a	120.88	120.88	Gene
Peanut_root-knot_nematode_1-1	F	53.9	55.9	QTL_nematode
Peanut_root-knot_nematode_1-2	F	63.85	65.85	QTL_nematode
Peanut_root-knot_nematode_1-3	F	62.11	64.11	QTL_nematode
Peanut_root-knot_nematode_1-4	F	68.83	70.83	QTL_nematode
Peanut_root-knot_nematode_1-5	F	69.1	71.1	QTL_nematode
Peanut_root-knot_nematode_2-1	F	69	71.12	QTL_nematode
Peanut_root-knot_nematode_2-2	E	43.8	65.85	QTL_nematode
"Petiole_color,_UV-B_induced_1-1"	N	101.05	103.05	QTL_inorganic
"Petiole_color,_UV-B_induced_1-2"	M	6.84	8.84	QTL_inorganic
"Petiole_color,_UV-B_induced_1-3"	K	35.99	37.99	QTL_inorganic
"Petiole_color,_UV-B_induced_1-4"	F	62.68	64.68	QTL_inorganic
"Petiole_color,_UV-B_induced_1-5"	E	43.75	45.75	QTL_inorganic
"Petiole_color,_UV-B_induced_1-6"	L	18.93	20.93	QTL_inorganic
"Petiole_color,_UV-B_induced_1-7"	L	40	42	QTL_inorganic
"Petiole_color,_UV-B_induced_1-8"	L	0	2	QTL_inorganic
"Petiole_color,_UV-B_induced_1-9"	L	0	19.93	QTL_inorganic
Pgd2	A2	137	137	Gene
Pgi	C2	5.5	5.5	Gene
Pgm1	O	122.22	122.22	Isozyme
Phomopsis_seed_decay_1-1	F	83.17	85.17	QTL_fungal
Phomopsis_seed_decay_2-1	F	83.17	85.17	QTL_fungal
Phomopsis_seed_decay_3-1	C2	113.95	117.76	QTL_fungal
Phomopsis_seed_decay_3-2	O	112.6	119.5	QTL_fungal
Phomopsis_seed_decay_4-1	C2	113.95	117.76	QTL_fungal
Phomopsis_seed_decay_4-2	O	112.16	119.5	QTL_fungal
Photoperiod_insensitivity_1-1	C2	112.1	123.6	QTL_reprod-period
Photoperiod_insensitivity_2-1	C2	101.75	112.2	QTL_reprod-period
Photoperiod_insensitivity_2-2	G	54.5	65.6	QTL_reprod-period
Photoperiod_insensitivity_3-1	C2	111.19	113.19	QTL_reprod-period
Photoperiod_insensitivity_3-2	L	56.13	92	QTL_reprod-period
Photoperiod_insensitivity_4-1	C2	111.19	113.19	QTL_reprod-period
Photoperiod_insensitivity_5-1	C2	126.23	142.63	QTL_reprod-period
Photoperiod_insensitivity_5-2	K	32.95	34.75	QTL_reprod-period
Photoperiod_insensitivity_5-3	F	26.98	56.38	QTL_reprod-period
Photoperiod_insensitivity_5-4	J	65.04	75.84	QTL_reprod-period
Phytoph_1-1	F	16.08	20.56	QTL_fungal
Phytoph_1-2	D1b	59.61	75.94	QTL_fungal
Phytoph_10-1	F	0	5.05	QTL_fungal
Phytoph_10-2	F	3.04	5.56	QTL_fungal
Phytoph_10-3	D1b	111.04	116.34	QTL_fungal
Phytoph_11-19	F	32.18	34.18	QTL_fungal
Phytoph_11-2	A2	50.5	52.5	QTL_fungal
Phytoph_11-20	D2	86.66	88.66	QTL_fungal
Phytoph_11-21	F	73.12	75.12	QTL_fungal
Phytoph_11-22	B2	64.55	66.55	QTL_fungal
Phytoph_12-1	F	74.12	79.91	QTL_fungal
Phytoph_12-2	D2	88.01	93.41	QTL_fungal
Phytoph_13-1	L	70.36	78.23	QTL_fungal
Phytoph_13-2	L	97.28	102.53	QTL_fungal
Phytoph_13-3	D1a	75.25	85.48	QTL_fungal
Phytoph_13-4	G	94.83	96.57	QTL_fungal
Phytoph_13-5	G	107.11	116.76	QTL_fungal
Phytoph_14-1	D1a	66.84	77.69	QTL_fungal
Phytoph_14-10	I	49.45	60.73	QTL_fungal
Phytoph_14-2	F	49.77	51.77	QTL_fungal
Phytoph_14-3	G	49.77	100.6	QTL_fungal
Phytoph_14-4	D1b	6.42	34.8	QTL_fungal
Phytoph_14-5	N	22.5	34.54	QTL_fungal
Phytoph_14-6	C1	12.71	26.95	QTL_fungal
Phytoph_14-7	C1	53.08	77.02	QTL_fungal
Phytoph_14-8	M	36.71	63.37	QTL_fungal
Phytoph_14-9	E	9.83	28.75	QTL_fungal
Phytoph_15-1	L	70.33	76.82	QTL_fungal
Phytoph_15-2	L	98.33	104.51	QTL_fungal
Phytoph_15-3	D1a	77.21	80.27	QTL_fungal
Phytoph_15-4	G	94.69	95.2	QTL_fungal
Phytoph_15-5	G	99.03	105.68	QTL_fungal
Phytoph_2-1	F	16.08	18.13	QTL_fungal
Phytoph_2-2	D1b	75.41	75.94	QTL_fungal
Phytoph_3-1	F	16.08	20.56	QTL_fungal
Phytoph_3-2	D1b	59.61	75.94	QTL_fungal
Phytoph_4-1	F	16.08	18.13	QTL_fungal
Phytoph_4-2	D1b	75.41	75.94	QTL_fungal
Phytoph_5-1	C2	42.36	112.9	QTL_fungal
Phytoph_5-2	E	32.09	34.2	QTL_fungal
Phytoph_5-3	O	49.7	107.58	QTL_fungal
Phytoph_6-1	F	2.23	3.04	QTL_fungal
Phytoph_6-2	D1b	75.29	75.41	QTL_fungal
Phytoph_6-3	D1b	75.94	76.27	QTL_fungal
Phytoph_6-4	A2	100.8	107.5	QTL_fungal
Phytoph_6-5	B1	118.52	123.95	QTL_fungal
Phytoph_6-6	C2	113.38	113.95	QTL_fungal
Phytoph_6-7	C2	107.58	111.68	QTL_fungal
Phytoph_6-8	C2	117.73	121.26	QTL_fungal
Phytoph_7-1	J	37.04	39.63	QTL_fungal
Phytoph_8-1	J	35.83	41.9	QTL_fungal
Phytoph_8-2	I	34.94	53.14	QTL_fungal
Phytoph_8-3	G	8.6	16.67	QTL_fungal
Phytoph_8-4	F	63.68	71.41	QTL_fungal
Phytoph_9-1	H	17.48	43.68	QTL_fungal
Phytoph_9-2	F	18.12	33.18	QTL_fungal
Phytoph_9-3	F	71.41	74.12	QTL_fungal
Phytoph_9-4	B2	55.2	72.8	QTL_fungal
Phytoph_9-5	D2	85.69	93.77	QTL_fungal
Phytoph_9-6	L	64.66	70.36	QTL_fungal
Plant_P_1-1	D2	6.42	24.52	QTL_whole-plant
Plant_P_1-2	B1	56.91	58.91	QTL_whole-plant
Plant_P_2-1	F	2.23	130.63	QTL_whole-plant
"Plant_P,_variable_P_4-1"	D2	6.42	24.52	QTL_whole-plant
"Plant_P,_variable_P_4-2"	B1	56.91	58.91	QTL_whole-plant
"Plant_damage,_UV-B_induced_1-1"	N	101.05	103.05	QTL_inorganic
"Plant_damage,_UV-B_induced_1-2"	C2	144.47	146.47	QTL_inorganic
"Plant_damage,_UV-B_induced_1-3"	M	32.47	34.47	QTL_inorganic
"Plant_damage,_UV-B_induced_1-4"	M	6.84	8.84	QTL_inorganic
"Plant_damage,_UV-B_induced_1-5"	L	18.93	20.93	QTL_inorganic
"Plant_damage,_UV-B_induced_1-6"	L	40	42	QTL_inorganic
"Plant_damage,_UV-B_induced_1-7"	L	0	2	QTL_inorganic
"Plant_damage,_UV-B_induced_1-8"	L	26.92	28.92	QTL_inorganic
"Plant_damage,_UV-B_induced_1-9"	L	0	19.93	QTL_inorganic
"Plant_damage,_UV-B_induced_2-1"	M	0.85	0.92	QTL_inorganic
Plant_height_1-1	L	68.2	86.6	QTL_whole-plant
Plant_height_10-1	C2	112.4	114.4	QTL_whole-plant
Plant_height_10-2	M	17.6	19.6	QTL_whole-plant
Plant_height_10-3	L	13.03	15.03	QTL_whole-plant
Plant_height_10-4	L	85.6	87.6	QTL_whole-plant
Plant_height_11-1	C2	115.6	117.6	QTL_whole-plant
Plant_height_11-3	F	67.4	69.4	QTL_whole-plant
Plant_height_12-1	I	34.35	36.35	QTL_whole-plant
Plant_height_13-1	D1b	24.6	26.6	QTL_whole-plant
Plant_height_13-2	C2	112.4	114.4	QTL_whole-plant
Plant_height_13-3	E	69.23	71.23	QTL_whole-plant
Plant_height_13-4	H	77.44	79.44	QTL_whole-plant
Plant_height_13-5	J	11.41	13.41	QTL_whole-plant
Plant_height_13-7	L	13.03	15.03	QTL_whole-plant
Plant_height_13-8	L	88.1	90.1	QTL_whole-plant
Plant_height_13-9	M	32.5	34.5	QTL_whole-plant
Plant_height_14-1	I	111.7	113.7	QTL_whole-plant
Plant_height_15-1	K	46.38	48.38	QTL_whole-plant
Plant_height_16-1	I	35.94	37.94	QTL_whole-plant
Plant_height_17-1	F	96.97	98.97	QTL_whole-plant
Plant_height_17-11	D1b	52.02	54.02	QTL_whole-plant
Plant_height_17-12	H	85.49	87.49	QTL_whole-plant
Plant_height_17-2	A1	25.42	27.42	QTL_whole-plant
Plant_height_17-3	G	95.57	97.57	QTL_whole-plant
Plant_height_17-4	K	42.35	44.35	QTL_whole-plant
Plant_height_17-5	N	52.25	54.25	QTL_whole-plant
Plant_height_17-6	C2	106.59	108.59	QTL_whole-plant
Plant_height_17-7	N	74.91	76.91	QTL_whole-plant
Plant_height_17-8	O	70.1	72.1	QTL_whole-plant
Plant_height_17-9	C2	106.59	108.59	QTL_whole-plant
Plant_height_18-1	K	39.86	41.86	QTL_whole-plant
Plant_height_18-2	O	99.38	101.38	QTL_whole-plant
Plant_height_18-3	K	35.99	37.99	QTL_whole-plant
Plant_height_18-4	C2	111.84	113.84	QTL_whole-plant
Plant_height_18-5	E	2.3	4.3	QTL_whole-plant
Plant_height_18-6	M	32.47	34.47	QTL_whole-plant
Plant_height_19-1	K	40.86	42.38	QTL_whole-plant
Plant_height_19-2	O	100.37	106.02	QTL_whole-plant
Plant_height_19-3	C2	112.45	112.83	QTL_whole-plant
Plant_height_19-4	E	2.3	4.3	QTL_whole-plant
Plant_height_19-5	M	33.47	50.09	QTL_whole-plant
Plant_height_2-1	M	37.98	39.98	QTL_whole-plant
Plant_height_2-2	J	19.8	21.8	QTL_whole-plant
Plant_height_2-3	C2	115.7	117.7	QTL_whole-plant
Plant_height_2-4	M	39.35	41.35	QTL_whole-plant
Plant_height_20-1	B1	46.38	58.91	QTL_whole-plant
Plant_height_20-2	B1	58.1	60.1	QTL_whole-plant
Plant_height_20-3	C2	116.71	131.75	QTL_whole-plant
Plant_height_20-4	C2	115.2	116.72	QTL_whole-plant
Plant_height_20-5	F	2.63	4.63	QTL_whole-plant
Plant_height_20-6	F	77.69	84.5	QTL_whole-plant
Plant_height_21-1	C2	115.2	116.72	QTL_whole-plant
Plant_height_21-2	C2	112.4	114.4	QTL_whole-plant
Plant_height_21-3	M	17.58	19.58	QTL_whole-plant
Plant_height_22-1	L	30.87	38.16	QTL_whole-plant
Plant_height_23-1	D1b	36.07	38.07	QTL_whole-plant
Plant_height_23-2	C2	112.38	114.38	QTL_whole-plant
Plant_height_23-3	G	3.53	5.53	QTL_whole-plant
Plant_height_23-4	O	118.5	120.5	QTL_whole-plant
Plant_height_23-5	F	129.63	131.63	QTL_whole-plant
Plant_height_23-6	G	32.25	34.25	QTL_whole-plant
Plant_height_24-1	A1	70.38	88.38	QTL_whole-plant
Plant_height_24-2	A1	70.38	90.38	QTL_whole-plant
Plant_height_24-3	A1	16.16	21.16	QTL_whole-plant
Plant_height_24-4	B1	28.33	32.5	QTL_whole-plant
Plant_height_24-5	B1	32.5	46.38	QTL_whole-plant
Plant_height_24-6	B1	36.48	46.38	QTL_whole-plant
Plant_height_24-7	D1a	48.13	49.84	QTL_whole-plant
Plant_height_24-8	E	44.93	45.4	QTL_whole-plant
Plant_height_25-1	G	95.57	97.57	QTL_whole-plant
Plant_height_25-2	J	66.79	68.79	QTL_whole-plant
Plant_height_25-3	M	65.98	67.98	QTL_whole-plant
Plant_height_25-4	C2	11.19	13.19	QTL_whole-plant
Plant_height_25-5	G	95.57	97.57	QTL_whole-plant
Plant_height_25-6	M	59.04	61.04	QTL_whole-plant
Plant_height_26-1	A1	27.66	92.88	QTL_whole-plant
Plant_height_26-10	E	46.65	70.23	QTL_whole-plant
Plant_height_26-11	F	0.92	22.52	QTL_whole-plant
Plant_height_26-12	G	75.76	114.66	QTL_whole-plant
Plant_height_26-13	G	61.16	68.16	QTL_whole-plant
Plant_height_26-14	G	56.18	67.88	QTL_whole-plant
Plant_height_26-15	I	112.76	150.5	QTL_whole-plant
Plant_height_26-16	J	65.04	67.79	QTL_whole-plant
Plant_height_26-17	N	101.05	138.9	QTL_whole-plant
Plant_height_26-2	A1	27.66	33.66	QTL_whole-plant
Plant_height_26-3	A1	31.68	40.08	QTL_whole-plant
Plant_height_26-4	A1	16.16	29.16	QTL_whole-plant
Plant_height_26-5	A1	16.16	26.16	QTL_whole-plant
Plant_height_26-6	B1	32.5	47.6	QTL_whole-plant
Plant_height_26-7	B1	36.48	46.38	QTL_whole-plant
Plant_height_26-8	B1	45.38	72.38	QTL_whole-plant
Plant_height_26-9	D1b	75.66	89.96	QTL_whole-plant
Plant_height_27-1	C2	145.47	151.91	QTL_whole-plant
Plant_height_27-2	F	9.65	11.65	QTL_whole-plant
Plant_height_28-1	I	85.73	87.73	QTL_whole-plant
Plant_height_29-1	C2	112.95	114.95	QTL_whole-plant
Plant_height_29-2	C2	125.23	127.23	QTL_whole-plant
Plant_height_29-3	O	117.3	119.3	QTL_whole-plant
Plant_height_29-4	E	31.27	33.27	QTL_whole-plant
Plant_height_3-1	L	91	93	QTL_whole-plant
Plant_height_3-2	C2	116.87	118.87	QTL_whole-plant
Plant_height_3-3	M	37.98	39.98	QTL_whole-plant
Plant_height_3-4	J	19.8	21.8	QTL_whole-plant
Plant_height_3-5	L	8.4	10.4	QTL_whole-plant
Plant_height_30-1	C2	112.95	114.95	QTL_whole-plant
Plant_height_30-2	C2	106.58	108.58	QTL_whole-plant
Plant_height_30-3	K	107.19	109.19	QTL_whole-plant
Plant_height_31-1	C2	112.83	117.76	QTL_whole-plant
Plant_height_31-2	O	106.02	112.16	QTL_whole-plant
Plant_height_33-1	N	90.55	94.55	QTL_whole-plant
Plant_height_33-2	G	84	102	QTL_whole-plant
Plant_height_33-3	D1b	59.61	79.41	QTL_whole-plant
Plant_height_33-4	C1	20.89	27.09	QTL_whole-plant
Plant_height_33-5	K	80.48	82.48	QTL_whole-plant
Plant_height_33-6	B2	12.83	14.83	QTL_whole-plant
Plant_height_33-7	D2	76.78	82.08	QTL_whole-plant
Plant_height_33-8	G	93.5	106.5	QTL_whole-plant
Plant_height_34-1	N	90.55	94.55	QTL_whole-plant
Plant_height_34-2	G	84	102	QTL_whole-plant
Plant_height_34-3	D1b	59.61	79.41	QTL_whole-plant
Plant_height_34-4	C1	20.89	27.09	QTL_whole-plant
Plant_height_34-5	K	80.48	82.48	QTL_whole-plant
Plant_height_34-6	B2	12.83	14.83	QTL_whole-plant
Plant_height_34-7	D2	76.78	82.08	QTL_whole-plant
Plant_height_34-8	G	93.5	106.5	QTL_whole-plant
Plant_height_35-1	C2	106.58	108.58	QTL_whole-plant
Plant_height_35-2	C2	112.95	114.95	QTL_whole-plant
Plant_height_35-3	K	107.19	109.19	QTL_whole-plant
Plant_height_35-4	O	38.82	40.82	QTL_whole-plant
Plant_height_35-5	D1b	74.29	76.29	QTL_whole-plant
Plant_height_36-1	H	81.04	89.51	QTL_whole-plant
Plant_height_37-1	A1	57.79	101.57	QTL_whole-plant
Plant_height_37-3	G	33.25	43.09	QTL_whole-plant
Plant_height_37-4	M	5	18.58	QTL_whole-plant
Plant_height_37-5	M	80.01	103.98	QTL_whole-plant
Plant_height_37-6	M	103.98	130.75	QTL_whole-plant
Plant_height_37-8	F	32.32	50.24	QTL_whole-plant
Plant_height_37-9	F	32.32	50.24	QTL_whole-plant
Plant_height_38-1	C2	119.05	127.74	QTL_whole-plant
Plant_height_38-2	F	93.68	118.26	QTL_whole-plant
Plant_height_38-3	C1	102.72	104.72	QTL_whole-plant
Plant_height_38-4	C2	118.85	120.85	QTL_whole-plant
Plant_height_38-5	B1	25.58	27.58	QTL_whole-plant
Plant_height_38-6	H	34.87	36.87	QTL_whole-plant
Plant_height_38-7	H	57.76	59.76	QTL_whole-plant
Plant_height_39-1	F	110.88	112.88	QTL_whole-plant
Plant_height_4-1	H	112.24	114.24	QTL_whole-plant
Plant_height_4-2	L	88.1	90.1	QTL_whole-plant
Plant_height_4-4	L	89.1	101.3	QTL_whole-plant
Plant_height_40-1	D1b	75.94	76.09	QTL_whole-plant
Plant_height_40-2	F	50.77	77.69	QTL_whole-plant
Plant_height_42-1	D1a	40.86	109.66	QTL_whole-plant
Plant_height_43-1	F	91.9	93.6	QTL_whole-plant
Plant_height_43-2	F	91.9	93.6	QTL_whole-plant
Plant_height_5-1	A2	59.9	61.9	QTL_whole-plant
Plant_height_5-10	L	100.3	102.3	QTL_whole-plant
Plant_height_5-11	L	31.6	33.6	QTL_whole-plant
Plant_height_5-12	L	34.3	36.3	QTL_whole-plant
Plant_height_5-13	J	67.3	69.3	QTL_whole-plant
Plant_height_5-2	B1	65.77	67.77	QTL_whole-plant
Plant_height_5-3	C1	20.04	22.04	QTL_whole-plant
Plant_height_5-4	C1	89.7	91.7	QTL_whole-plant
Plant_height_5-5	D1b	131.44	133.44	QTL_whole-plant
Plant_height_5-6	F	63.85	65.85	QTL_whole-plant
Plant_height_5-7	F	60.9	62.9	QTL_whole-plant
Plant_height_5-8	F	66.2	68.2	QTL_whole-plant
Plant_height_5-9	J	26.63	28.63	QTL_whole-plant
Plant_height_6-1	L	85.6	87.6	QTL_whole-plant
Plant_height_6-11	N	24.49	26.49	QTL_whole-plant
Plant_height_6-12	D1b	119.97	121.97	QTL_whole-plant
Plant_height_6-2	L	111.51	113.51	QTL_whole-plant
Plant_height_6-3	C2	115.7	117.7	QTL_whole-plant
Plant_height_6-4	L	41.8	43.8	QTL_whole-plant
Plant_height_6-5	M	37.98	39.98	QTL_whole-plant
Plant_height_6-6	J	19.8	21.8	QTL_whole-plant
Plant_height_6-7	L	8.4	10.4	QTL_whole-plant
Plant_height_6-8	D1a	86.8	88.8	QTL_whole-plant
Plant_height_7-1	C2	115.6	117.6	QTL_whole-plant
Plant_height_7-2	F	67.4	69.4	QTL_whole-plant
Plant_height_8-1	C2	106.6	108.6	QTL_whole-plant
Plant_height_8-2	M	17.6	19.6	QTL_whole-plant
Plant_height_8-3	L	69.36	71.36	QTL_whole-plant
Plant_height_8-4	L	65.5	67.5	QTL_whole-plant
Plant_height_9-1	L	94.4	96.4	QTL_whole-plant
Plant_height_9-2	L	106.24	108.24	QTL_whole-plant
Plant_height_to_Lodging_ratio_1-1	M	37.98	39.98	QTL_whole-plant
Plant_height_to_Lodging_ratio_1-2	L	41.8	43.8	QTL_whole-plant
Plant_height_to_Lodging_ratio_1-3	F	66.2	68.2	QTL_whole-plant
Plant_height_to_Lodging_ratio_2-1	M	17.6	19.6	QTL_whole-plant
Plant_height_to_Lodging_ratio_2-2	F	56.8	58.8	QTL_whole-plant
Plant_height_to_Lodging_ratio_2-3	F	66.2	68.2	QTL_whole-plant
Plant_height_to_Lodging_ratio_2-4	L	67.3	69.3	QTL_whole-plant
Plant_height_to_Lodging_ratio_3-1	G	32.3	34.3	QTL_whole-plant
Plant_height_to_Lodging_ratio_3-2	L	91	93	QTL_whole-plant
Plant_height_to_Lodging_ratio_4-1	M	37.98	39.98	QTL_whole-plant
Plant_height_to_Lodging_ratio_4-2	F	69.1	71.1	QTL_whole-plant
"Plant_height,_variable_P_1-1"	C1	109.4	113.8	QTL_whole-plant
"Plant_height,_variable_P_1-2"	E	36.3	40.1	QTL_whole-plant
"Plant_height,_variable_P_1-3"	G	61.3	62.3	QTL_whole-plant
"Plant_height,_variable_P_1-4"	D1B	116.3	116.5	QTL_whole-plant
"Plant_height,_variable_P_1-5"	C1	109.4	113.8	QTL_whole-plant
"Plant_height,_variable_P_1-6"	F	62.1	66.7	QTL_whole-plant
"Plant_height,_variable_P_1-7"	E	36.3	40.1	QTL_whole-plant
"Plant_height,_variable_P_1-8"	G	61.3	62.3	QTL_whole-plant
"Plant_height,_variable_P_1-9"	G	90.9	95.4	QTL_whole-plant
Plant_weight_1-1	D2	6.42	24.52	QTL_whole-plant
Plant_weight_1-2	B1	56.91	58.91	QTL_whole-plant
Plant_weight_2-1	O	58.4	60.4	QTL_whole-plant
Plant_weight_2-2	C2	40.3	59.6	QTL_whole-plant
Plant_weight_3-1	N	71.46	87.56	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-1"	G	61.3	62.3	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-10"	N	29	29.8	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-11"	C1	109.4	113.8	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-12"	B2	75.2	81.7	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-13"	E	36.3	40.1	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-14"	G	61.3	62.3	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-2"	D1A	69.6	78	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-3"	D1B	116.3	116.5	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-4"	D2	102.8	111.7	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-5"	C1	39.8	76.2	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-6"	I	36	36.6	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-7"	C1	109.4	113.8	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-8"	F	92.7	102.8	QTL_whole-plant
"Plant_weight,_dry,_variable_P_1-9"	E	36.3	40.1	QTL_whole-plant
"Plant_weight,_dry,_variable_P_2-1"	D2	6.42	24.52	QTL_whole-plant
"Plant_weight,_dry,_variable_P_3-1"	B1	56.91	58.91	QTL_whole-plant
Pod_borer_1-1	H	53.34	67.16	QTL_insect
Pod_borer_1-2	H	67.16	69.12	QTL_insect
Pod_borer_1-3	G	62.16	76.76	QTL_insect
Pod_color_1-1	L	43.2	45.2	QTL_pod
Pod_dehiscence_1-1	E	45.3	47.3	QTL_pod
Pod_dehiscence_1-10	L	94.4	96.4	QTL_pod
Pod_dehiscence_1-2	E	53.2	55.2	QTL_pod
Pod_dehiscence_1-3	E	46.54	48.54	QTL_pod
Pod_dehiscence_1-4	E	44	46	QTL_pod
Pod_dehiscence_1-5	J	16.35	18.35	QTL_pod
Pod_dehiscence_1-6	J	26.63	28.63	QTL_pod
